Month,Date,Amount
Dec 23,19/12/23,15000
Dec 23,26/12/23,15000
Dec 23,31/12/23,15000
Jan 24,2/1/24,15000
Jan 24,9/1/24,15000
Jan 24,16/1/24,15000
Jan 24,23/1/24,15000
Jan 24,30/1/24,15000
Feb 24,6/2/24,15000
Feb 24,13/2/24,15000
Feb 24,20/2/24,15000
Feb 24,27/2/24,15000
March 24,5/3/24,15000
March 24,12/3/24,15000
March 24,17/3/24,15000
March 24,24/3/24,15000
March 24,31/3/24,15000
April 24,7/4/24,15000
April 24,14/4/24,15000
April 24,21/4/24,15000
April 24,28/4/24,15000
May 24,5/5/24,15000
May 24,12/5/24,15000
May 24,19/5/24,15000
May 24,26/5/24,15000
June 24,2/6/24,15000
June 24,2/6/24,17500
June 24,9/6/24,17500
June 24,16/6/24,-
June 24,23/6/24,5000
June 24,30/6/24,15000
July 24,7/7/24,15000
July 24,14/7/24,15000
July 24,21/7/24,15000
July 24,28/7/24,5000
August 24,4/8/24,-
August 24,11/8/24,15000
August 24,18/8/24,15000
August 24,25/8/24,-
Sept 24,1/9/24,30000
Sept 24,8/9/24,15000
Sept 24,15/9/24,15000
Sept 24,22/9/24,15000
Sept 24,29/9/24,15000
Oct 24,6/10/24,15000
Oct 24,13/10/24,15000
Oct 24,20/10/24,30000
Oct 24,27/10/24,-
Nov 24,3/11/24,-
Nov 24,10/11/24,30000
Nov 24,17/11/24,30000
Nov 24,24/11/24,-
Dec 24,1/12/24,30000
Dec 24,15/12/24,39000
Dec 24,29/12/24,20000
Jan 25,5/1/25,-
Jan 25,12/1/25,25000
Jan 25,19/1/25,-
Jan 25,26/1/25,-
Feb 25,2/2/25,-
Feb 25,12/2/25,-
Feb 25,19/2/25,-
Feb 25,26/2/25,-
March 25,5/3/25,-
March 25,12/3/25,-
