date,ticket_no.,receiver_department,item,measurement,description,quantity,unit_cost,total_cost,week_code
2023-12-01,1,Production,Spares,Pieces,19 Bolts & Nuts,2.0,300,0,Nov wk 4 - 23
2023-12-01,2,Production,Spares,Pieces,22 Bolts & Nuts,8.0,450,0,Nov wk 4 - 23
2023-12-01,3,Production,Spares,Pieces,19 Washers,4.0,50,0,Nov wk 4 - 23
2023-12-01,4,Production,Spares,Pieces,22 washers,16.0,50,0,Nov wk 4 - 23
2023-12-01,5,Production,Spares,Pieces,24 Bolts & Nuts,4.0,500,0,Nov wk 4 - 23
2023-12-01,6,Production,Spares,Pieces,24 washers,8.0,100,0,Nov wk 4 - 23
2023-12-01,7,Production,Spares,Pieces,B86-belt,1.0,2200,0,Nov wk 4 - 23
2023-12-01,8,Payloader,Diesel,Litres,Payloader,30.0,0,0,Nov wk 4 - 23
2023-12-01,9,Production,CaC03,bags,Issued to production for the day,10.0,0,0,Nov wk 4 - 23
2023-12-02,10,Enforcement,PP2,,Issued to enforcement for the day,26.18,0,0,Nov wk 4 - 23
2023-12-02,11,Production,Diesel,Litres,Issued to production for the day,300.0,0,0,Nov wk 4 - 23
2023-12-02,12,Production,Diesel,Litres,Issued to production for the day,50.0,0,0,Nov wk 4 - 23
2023-12-02,13,Sourcing,Diesel,Litres,Issued to sourcing for the day,40.0,0,0,Nov wk 4 - 23
2023-12-02,14,Production,CaC03,bags,Issued to production for the day,10.0,0,0,Nov wk 4 - 23
2023-12-02,15,Enforcement,Bags,Pieces,Issued to enforcement for the day,422.0,0,0,Nov wk 4 - 23
2023-12-04,16,Production,CaC03,bags,Issued to production for the day,16.0,0,0,Dec wk 1 - 23
2023-12-04,17,Payloader,Diesel,Litres,Payloader,30.0,0,0,Dec wk 1 - 23
2023-12-04,16,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,0,Dec wk 1 - 23
2023-12-04,17,Production,Spares,Pieces,19Bolts & Nuts,7.0,2100,0,Dec wk 1 - 23
2023-12-04,18,Production,Spares,Pieces,19Washers,14.0,700,0,Dec wk 1 - 23
2023-12-04,19,Production,Spares,Pieces,Cutting Disc,1.0,1500,0,Dec wk 1 - 23
2023-12-04,20,Production,Spares,Pieces,Low hydrogen electrodes,10.0,460,0,Dec wk 1 - 23
2023-12-04,21,Production,Spares,Pieces,Rake,3.0,9000,0,Dec wk 1 - 23
2023-12-05,22,Production,CaC03,bags,Issued to production for the day,5.0,0,0,Dec wk 1 - 23
2023-12-05,23,Production,Diesel,Litres,Issued to production for the day,300.0,0,0,Dec wk 1 - 23
2023-12-05,24,Sourcing,Diesel,Litres,Issued to sourcing for the day,80.0,0,0,Dec wk 1 - 23
2023-12-05,25,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 1 - 23
2023-12-05,26,Production,Spares,Pieces,middle shafts,1.0,0,0,Dec wk 1 - 23
2023-12-05,27,Production,Spares,Pieces,19bolts & nuts,8.0,2400,0,Dec wk 1 - 23
2023-12-05,28,Production,Spares,Pieces,19washers,16.0,800,0,Dec wk 1 - 23
2023-12-05,29,Production,Spares,Pieces,hydraulic oil,5.0,8600,0,Dec wk 1 - 23
2023-12-05,30,Production,Spares,Pieces,10bolts & nuts,4.0,800,0,Dec wk 1 - 23
2023-12-05,31,Production,Spares,Pieces,10washers,8.0,400,0,Dec wk 1 - 23
2023-12-05,32,Production,Spares,Pieces,gear oil,2.0,3750,0,Dec wk 1 - 23
2023-12-05,33,Production,Spares,Pieces,engine oil filters,1.0,12000,0,Dec wk 1 - 23
2023-12-06,34,Payloader,Diesel,Litres,Payloader,30.0,0,0,Dec wk 1 - 23
2023-12-06,35,Production,CaC03,bags,Issued to production for the day,9.0,0,0,Dec wk 1 - 23
2023-12-06,36,Sourcing,Diesel,Litres,Issued to sourcing for day,20.0,0,0,Dec wk 1 - 23
2023-12-06,37,Enforcement,PP2,,Issued to enforcement for day,31.21,0,0,Dec wk 1 - 23
2023-12-06,38,Enforcement,Bags,Pieces,Issued to enforcement for day,488.0,0,0,Dec wk 1 - 23
2023-12-07,39,Production,Diesel,Litres,Issued to production for the day,300.0,0,0,Dec wk 1 - 23
2023-12-07,40,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 1 - 23
2023-12-07,41,Production,CaC03,bags,Issued to production for the day,8.0,0,0,Dec wk 1 - 23
2023-12-07,42,Production,Spares,Pieces,Cutting Disc,1.0,1500,0,Dec wk 1 - 23
2023-12-07,43,Sourcing,Diesel,Litres,Issued to sourcing for the day,20.0,0,0,Dec wk 1 - 23
2023-12-08,44,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 1 - 23
2023-12-08,45,Production,CaC03,bags,Issued to production for the day,5.0,0,0,Dec wk 1 - 23
2023-12-08,46,Production,Spares,Pieces,19 Bolt & Nut,14.0,4200,0,Dec wk 1 - 23
2023-12-08,47,Production,Spares,Pieces,19 Washers,28.0,1400,0,Dec wk 1 - 23
2023-12-09,48,Production,CaC03,bags,Issued to production for the day,8.0,0,0,Dec wk 1 - 23
2023-12-09,49,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 1 - 23
2023-12-09,50,Sourcing,Diesel,Litres,Issued to sourcing for the day,30.0,0,0,Dec wk 1 - 23
2023-12-09,51,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,0,Dec wk 1 - 23
2023-12-09,52,Production,Spares,Pieces,Low hydrogen electrodes,10.0,460,0,Dec wk 1 - 23
2023-12-10,53,Production,Spares,Pieces,Fuel filters,3.0,24000,0,Dec wk 2 - 23
2023-12-10,54,Sourcing,Diesel,Litres,Dyna2,20.0,0,0,Dec wk 2 - 23
2023-12-10,55,Production,CaC03,bags,Issued to production for the day,8.0,0,0,Dec wk 2 - 23
2023-12-10,56,Production,Spares,Pieces,Water separator,1.0,0,0,Dec wk 2 - 23
2023-12-10,57,Production,Spares,Pieces,Electrical extension,1.0,0,0,Dec wk 2 - 23
2023-12-10,58,Production,Spares,Pieces,Lamp holders,2.0,0,0,Dec wk 2 - 23
2023-12-10,59,Production,Spares,Pieces,Led buld,1.0,0,0,Dec wk 2 - 23
2023-12-10,60,Production,Spares,Pieces,Cutting Disc,6.0,6000,0,Dec wk 2 - 23
2023-12-11,61,Production,PP2,,Issued to enforcement for the day,16.11,0,0,Dec wk 2 - 23
2023-12-11,62,Payloader,Diesel,Litres,Payloader,30.0,0,0,Dec wk 2 - 23
2023-12-11,63,Production,Diesel,Litres,Issued to production for the day,300.0,0,0,Dec wk 2 - 23
2023-12-11,64,Production,CaC03,bags,Issued to production for the day,15.0,0,0,Dec wk 2 - 23
2023-12-11,65,Enforcement,Bags,Pieces,Issued to enforcement for the day,256.0,0,0,Dec wk 2 - 23
2023-12-11,66,Production,Spares,Pieces,Stainless electrode,40.0,5800,0,Dec wk 2 - 23
2023-12-11,67,Production,Spares,Pieces,Welding gloves,1.0,3000,0,Dec wk 2 - 23
2023-12-11,68,Sourcing,Spares,Pieces,19 bolt and nut,6.0,1800,0,Dec wk 2 - 23
2023-12-11,69,Production,Spares,Pieces,19 washers,12.0,600,0,Dec wk 2 - 23
2023-12-12,69,Production,Diesel,Litres,Issued to production for the day,300.0,0,0,Dec wk 2 - 23
2023-12-12,70,Production,CaC03,bags,Issued to production for the day,8.0,0,0,Dec wk 2 - 23
2023-12-12,71,Sourcing,Diesel,Litres,Dyna2,15.0,0,0,Dec wk 2 - 23
2023-12-12,72,Production,Spares,Pieces,Cutting Disc,1.0,1500,0,Dec wk 2 - 23
2023-12-13,73,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 2 - 23
2023-12-13,74,Sourcing,Diesel,Litres,Mb1,10.0,0,0,Dec wk 2 - 23
2023-12-13,75,Production,CaC03,bags,Issued to production for the day,7.0,0,0,Dec wk 2 - 23
2023-12-13,76,Production,Spares,Pieces,19 bolt and nut,2.0,600,0,Dec wk 2 - 23
2023-12-13,77,Production,Spares,Pieces,19 washers,4.0,200,0,Dec wk 2 - 23
2023-12-14,78,Production,Spares,Pieces,Cracker Rollers,32.0,544000,0,Dec wk 2 - 23
2023-12-14,79,Production,CaC03,bags,Issued to production for the day,6.0,0,0,Dec wk 2 - 23
2023-12-14,80,Sourcing,Diesel,Litres,Dyna2,30.0,0,0,Dec wk 2 - 23
2023-12-14,81,Payloader,Diesel,Litres,Payloader,30.0,0,0,Dec wk 2 - 23
2023-12-14,82,Production,Spares,Pieces,Body liners,2.0,0,0,Dec wk 2 - 23
2023-12-15,83,Enforcement,PP2,,Issued to enforcement for the day,17.8,0,0,Dec wk 2 - 23
2023-12-15,84,Sourcing,Diesel,Litres,Mb1 and dyna2,50.0,0,0,Dec wk 2 - 23
2023-12-15,85,Payloader,Diesel,Litres,Payloader,60.0,0,0,Dec wk 2 - 23
2023-12-15,86,Production,CaC03,bags,Issued to production for the day,13.0,0,0,Dec wk 2 - 23
2023-12-15,87,Enforcement,Bags,bags,Issued to enforcement for the day,294.0,0,0,Dec wk 2 - 23
2023-12-16,88,Production,Spares,Pieces,10bolt and nut,4.0,800,0,Dec wk 2 - 23
2023-12-16,89,Payloader,Diesel,Litres,Payloader,80.0,0,0,Dec wk 2 - 23
2023-12-16,70,Production,CaC03,bags,Issued to production for the day,15.0,0,0,Dec wk 2 - 23
2023-12-16,71,Production,Diesel,Litres,Issued to production for the day,510.0,0,0,Dec wk 2 - 23
2023-12-16,72,Production,Spares,Pieces,10washers,8.0,400,0,Dec wk 2 - 23
2023-12-17,73,Production,Spares,Pieces,hydraulic oil,8.0,13760,0,Dec wk 3 - 23
2023-12-17,74,Production,Diesel,Litres,Payloader,90.0,0,0,Dec wk 3 - 23
2023-12-17,75,Sourcing,Diesel,Litres,Dyna2,25.0,0,0,Dec wk 3 - 23
2023-12-18,76,Payloader,Diesel,Litres,Payloader,50.0,0,0,Dec wk 3 - 23
2023-12-22,77,Enforcement,PP2,,Issued to enforcement for day,25.71,0,0,Dec wk 3 - 23
2023-12-22,78,Enforcement,Bags,Pieces,Issued to enforcement for day,410.0,0,0,Dec wk 3 - 23
2024-01-11,78,Sourcing,Fuel,Litres,Ford2,22.0,0,0,Jan wk 2 - 24
2024-01-11,79,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 2 - 24
2024-01-11,80,Sourcing,Diesel,Litres,dyna2,25.0,0,1,Jan wk 2 - 24
2024-01-09,81,Sourcing,Fuel,Litres,Ford2,10.0,0,0,Jan wk 2 - 24
2024-01-10,81,Production,Spares,Pieces,22 bolt & nuts,4.0,1800,1,Jan wk 2 - 24
2024-01-10,82,Production,Spares,Pieces,22 washers,8.0,400,1,Jan wk 2 - 24
2024-01-10,83,Production,Spares,Pieces,Low hydrogen electrodes,12.0,552,1,Jan wk 2 - 24
2024-01-10,84,Production,Spares,Pieces,C78 Belt,2.0,7000,1,Jan wk 2 - 24
2024-01-10,85,Production,Spares,Pieces,Cutting Disc,1.0,1500,1,Jan wk 2 - 24
2024-01-10,86,Production,Spares,Pieces,10 washers,5.0,250,1,Jan wk 2 - 24
2024-01-10,87,Production,Spares,Pieces,24 Bolts & nuts,4.0,2000,1,Jan wk 2 - 24
2024-01-10,88,Production,Spares,Pieces,24 washers,8.0,400,1,Jan wk 2 - 24
2024-01-10,89,Production,Spares,Pieces,125A contactor,1.0,20000,1,Jan wk 2 - 24
2024-01-12,90,Sourcing,Fuel,Litres,Ford2,10.0,0,0,Jan wk 2 - 24
2024-01-12,90,Production,Spares,Pieces,Electrical Tape,1.0,250,1,Jan wk 2 - 24
2024-01-12,91,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 2 - 24
2024-01-12,92,Production,Spares,Pieces,Iron Chalk,1.0,200,1,Jan wk 2 - 24
2024-01-12,93,Production,Spares,Pieces,Cutting Disc,3.0,4500,1,Jan wk 2 - 24
2024-01-12,94,Production,Spares,Pieces,Welding glass,1.0,700,1,Jan wk 2 - 24
2024-01-13,95,Production,Spares,Pieces,middle shafts,6.0,0,1,Jan wk 2 - 24
2024-01-13,96,Production,Spares,Pieces,Ending shafts,4.0,0,1,Jan wk 2 - 24
2024-01-13,97,Production,Spares,Pieces,Hanger Bearing,6.0,126000,1,Jan wk 2 - 24
2024-01-13,98,Production,Spares,Pieces,19 bolt & nuts,37.0,11700,1,Jan wk 2 - 24
2024-01-13,99,Production,Spares,Pieces,19 washers,64.0,3200,1,Jan wk 2 - 24
2024-01-13,100,Production,Spares,Pieces,22 washers,10.0,500,1,Jan wk 2 - 24
2024-01-13,101,Sourcing,Diesel,Litres,Mb1,80.0,0,1,Jan wk 2 - 24
2024-01-13,111,Production,Spares,Pieces,2.5mm 3core wire,100.0,75000,1,Jan wk 2 - 24
2024-01-15,112,Sourcing,Fuel,Litres,Ford2,20.0,0,0,Jan wk 3 - 24
